year,sex,name,n,prop
1949,F,Body Fat,333,0.000189689655192056
1950,F,Body Mass Index,13614,0.00773996360272735
1950,F,Body Weight,7060,0.0040138198204242
1950,F,Body Fat,379,0.000215472763730988
1951,F,Body Mass Index,12820,0.00694223701403664
1951,F,Body Weight,6945,0.00376082964605963
1951,F,Body Fat,409,0.000221480104425974
1952,F,Body Mass Index,12125,0.00637438260490131
1952,F,Body Weight,6470,0.00340142313020301
1952,F,Body Fat,418,0.000219751911657629
1953,F,Body Mass Index,11367,0.00589234228770306
1953,F,Body Weight,6120,0.00317244081998265
1953,F,Body Fat,428,0.000221863508325584
1954,F,Body Mass Index,10615,0.00533247732378461
1954,F,Body Weight,5940,0.00298397694802455
1954,F,Body Fat,428,0.000215007093224664
1955,F,Body Mass Index,9928,0.00495316989402671
1955,F,Body Weight,5596,0.00279189552044455
1955,F,Body Fat,452,0.000225506929099524
1956,F,Body Mass Index,9213,0.00447378516313558
1956,F,Body Weight,5279,0.00256345510433005
1956,F,Body Fat,643,0.000312237475295363
1957,F,Body Mass Index,8474,0.00404001685803589
1957,F,Body Weight,5015,0.0023909233588683
1957,F,Body Fat,667,0.000317995190501527
1958,F,Body Mass Index,7709,0.00373315202679308
1958,F,Body Weight,4763,0.0023065252436912
1958,F,Body Fat,796,0.00038547010161205
1959,F,Body Mass Index,7317,0.00352036611422691
1959,F,Body Weight,4378,0.00210634998607153
1959,F,Body Fat,858,0.000412802258576833
1960,F,Body Mass Index,6503,0.00312654752804181
1960,F,Body Weight,4069,0.00195631583755223
1960,F,Body Fat,977,0.000469727346593395
1961,F,Body Mass Index,5580,0.00268756998880179
1961,F,Body Weight,3855,0.00185673518043565
1961,F,Body Fat,1057,0.0005090970390974
1962,F,Body Mass Index,4765,0.00235074380197906
1962,F,Body Weight,3587,0.00176959454726105
1962,F,Body Fat,948,0.000467682082744208
1963,F,Body Mass Index,4154,0.00208965284799461
1963,F,Body Weight,3340,0.00168017345024121
1963,F,Body Fat,1035,0.000520652551197501
1964,F,Body Mass Index,4067,0.00207798763732755
1964,F,Body Weight,3095,0.00158135523420918
1964,F,Body Fat,1275,0.000651446825078097
1965,F,Body Mass Index,3565,0.00195092106458452
1965,F,Body Weight,2804,0.00153446919076998
1965,F,Body Fat,1650,0.000902950843356088
1966,F,Body Mass Index,2948,0.00167924103773451
1966,F,Body Weight,2449,0.00139500044145584
1966,F,Body Fat,2329,0.00132664598944493
1967,F,Body Fat,2663,0.00155127358221284
1967,F,Body Mass Index,2543,0.00148137015379919
1967,F,Body Weight,2153,0.00125418401145484
1968,F,Body Fat,2430,0.00142148489599176
1968,F,Body Mass Index,2134,0.00124833282635655
1968,F,Body Weight,1881,0.00110033460467511
1969,F,Body Fat,2817,0.00159809839339203
1969,F,Body Mass Index,2133,0.00121006172279205
1969,F,Body Weight,1857,0.00105348552237451
1970,F,Body Fat,3550,0.00193781946727978
1970,F,Body Mass Index,1967,0.0010737157442646
1970,F,Body Weight,1715,0.000936157855319669
1971,F,Body Fat,4133,0.00235853901832733
1971,F,Body Mass Index,1763,0.00100607410822915
1971,F,Body Weight,1441,0.000822321491751676
1972,F,Body Fat,4181,0.00259282962610169
1972,F,Body Mass Index,1366,0.000847119174660346
1972,F,Body Weight,1245,0.000772081531809759
1973,F,Body Fat,5627,0.00362095249004029
1973,F,Body Mass Index,1323,0.000851345325097441
1973,F,Body Weight,1133,0.000729081068280726
1974,F,Body Fat,7476,0.00477346474621335
1974,F,Body Weight,1140,0.000727895908331088
1974,F,Body Mass Index,1130,0.000721510856503622
1975,F,Body Fat,12653,0.00810723358994813
1975,F,Body Weight,1057,0.000677258034029493
1975,F,Body Mass Index,1021,0.000654191535235679
1976,F,Body Fat,15591,0.00991856357366017
1976,F,Body Weight,942,0.000599274381783586
1976,F,Body Mass Index,908,0.000577644520869953
1977,F,Body Fat,18280,0.01111327945703
1977,F,Body Weight,992,0.00060308387425458
1977,F,Body Mass Index,807,0.000490613595285732
1978,F,Body Fat,20522,0.0124847985623197
1978,F,Body Weight,922,0.000560909476389179
1978,F,Body Mass Index,715,0.000434978606961239
1979,F,Body Fat,31927,0.018529201469011
1979,F,Body Weight,879,0.000510137754604588
1979,F,Body Mass Index,711,0.000412637023349104
1980,F,Body Fat,35819,0.0201204564808553
1980,F,Body Weight,909,0.000510608753485509
1980,F,Body Mass Index,658,0.000369615577330544
1981,F,Body Fat,34373,0.0192239288782304
1981,F,Body Weight,896,0.000501109599828191
1981,F,Body Mass Index,662,0.000370239458801632
1982,F,Body Fat,34210,0.0188618284229725
1982,F,Body Weight,875,0.000482434956740747
1982,F,Body Mass Index,635,0.000350109940034713
1983,F,Body Fat,33754,0.0188664164484477
1983,F,Body Weight,844,0.000471744252014275
1983,F,Body Mass Index,563,0.000314682480905257
1984,F,Body Fat,33906,0.0188096956530664
1984,F,Body Weight,859,0.00047653891836206
1984,F,Body Mass Index,503,0.000279044325886049
1985,F,Body Fat,39050,0.0211582932924147
1985,F,Body Weight,809,0.000438336985238501
1985,F,Body Mass Index,502,0.000271996497638724
1986,F,Body Fat,40522,0.0219663105900363
1986,F,Body Weight,766,0.000415236017767331
1986,F,Body Mass Index,407,0.000220628014662277
1987,F,Body Fat,41786,0.0223028287113293
1987,F,Body Weight,815,0.000434997496762871
1987,F,Body Mass Index,435,0.000232176578026809
1988,F,Body Fat,39451,0.0205232062418098
1988,F,Body Weight,775,0.000403170637940802
1988,F,Body Mass Index,395,0.000205486970305312
1989,F,Body Fat,36827,0.0184894268312827
1989,F,Body Weight,857,0.000430266890987842
1989,F,Body Mass Index,399,0.000200322624858983
1990,F,Body Fat,34405,0.0167526739517223
1990,F,Body Weight,861,0.000419242908659582
1990,F,Body Mass Index,406,0.00019769177806712
1991,F,Body Fat,28887,0.0142092044281837
1991,F,Body Weight,773,0.000380230381243673
1991,F,Body Mass Index,345,0.000169701787230359
1992,F,Body Fat,25034,0.0124909812859813
1992,F,Body Weight,827,0.000412640469901196
1992,F,Body Mass Index,296,0.000147692356820742
1993,F,Body Fat,20809,0.0105574296471538
1993,F,Body Weight,868,0.000440379111621392
1993,F,Body Mass Index,292,0.000148145968425629
1994,F,Body Fat,18715,0.00960297607594125
1994,F,Body Weight,848,0.000435122827272144
1994,F,Body Mass Index,275,0.00014110704893849
1995,F,Body Fat,16345,0.00850843425549248
1995,F,Body Weight,837,0.000435702629051527
1995,F,Body Mass Index,234,0.00012180933715419
1996,F,Body Fat,13973,0.00729021776219062
1996,F,Body Weight,900,0.000469562440848176
1996,F,Body Mass Index,217,0.000113216721848949
1997,F,Body Fat,12239,0.00641268473996901
1997,F,Body Weight,812,0.000425451426493573
1997,F,Body Mass Index,189,9.90274872010902e-05
1998,F,Body Fat,10908,0.00562935148405249
1998,F,Body Weight,832,0.000429374810664803
1998,F,Body Mass Index,194,0.000100118645755976
1999,F,Body Fat,9741,0.00500608480074333
1999,F,Body Weight,841,0.000432205863610014
1999,F,Body Mass Index,182,9.35332546694679e-05
2000,F,Body Fat,8550,0.00428687249337039
2000,F,Body Weight,890,0.000446235850187093
2000,F,Body Mass Index,174,8.72416156545553e-05
2001,F,Body Fat,6963,0.00351742877623485
2001,F,Body Weight,884,0.000446561401434957
2001,F,Body Mass Index,153,7.72894733252811e-05
2002,F,Body Fat,6132,0.00310708183603607
2002,F,Body Weight,875,0.000443362134137567
2002,F,Body Mass Index,127,6.43508468976811e-05
2003,F,Body Fat,5339,0.00266293320671225
2003,F,Body Weight,783,0.000390536935916031
2003,F,Body Mass Index,142,7.08253446999699e-05
2004,F,Body Fat,4677,0.00231986798031609
2004,F,Body Weight,860,0.000426573971150703
2004,F,Body Mass Index,136,6.7458209391274e-05
2005,F,Body Fat,4088,0.00201626824653713
2005,F,Body Weight,960,0.000473487650850206
2005,F,Body Mass Index,132,6.51045519919034e-05
2006,F,Body Fat,3355,0.00160659994129086
2006,F,Body Weight,948,0.000453966242725406
2006,F,Body Mass Index,135,6.46470915273522e-05
2007,F,Body Fat,3038,0.00143714999626284
2007,F,Body Weight,931,0.000440416934338613
2007,F,Body Mass Index,134,6.33897628371366e-05
2008,F,Body Fat,2439,0.00117262546948289
2008,F,Body Weight,884,0.000425010625265632
2008,F,Body Mass Index,137,6.58670312911669e-05
2009,F,Body Fat,1952,0.000965476785773462
2009,F,Body Weight,826,0.000408547041520942
2009,F,Body Mass Index,148,7.32021333475781e-05
2010,F,Body Fat,1655,0.000845745694745594
2010,F,Body Weight,703,0.000359250286046014
2010,F,Body Mass Index,132,6.74552457440595e-05
2011,F,Body Fat,1409,0.000728789836459354
2011,F,Body Weight,729,0.000377067275215663
2011,F,Body Mass Index,167,8.63789231289653e-05
2012,F,Body Fat,1228,0.00063493672090343
2012,F,Body Weight,772,0.000399162173076098
2012,F,Body Mass Index,140,7.2386922578567e-05
2013,F,Body Fat,1064,0.000553891740193539
2013,F,Body Weight,738,0.000384184308517699
2013,F,Body Mass Index,174,9.05800402196202e-05
2014,F,Body Fat,1048,0.000538111157950515
2014,F,Body Weight,801,0.000411285341143476
2014,F,Body Mass Index,193,9.90987151569174e-05
2015,F,Body Fat,1013,0.000523484723599549
2015,F,Body Weight,757,0.000391192434121282
2015,F,Body Mass Index,186,9.61186165740535e-05
